File ID	Sample Type	Tpm_val
4f59681b-3811-4569-aa50-ed031f7e370a	Primary Tumor	233.2408
a9e3a464-50ea-49a0-9482-1513ed167bf4	Primary Tumor	210.1817
231aa983-3ef3-476b-bdb3-bab9d66f71e6	Primary Tumor	173.2096
249b6388-cdcd-477a-9461-cf0e41146230	Primary Tumor	2.0341
842cb3d6-6ca5-4924-a7bb-98720352b548	Primary Tumor	51.8464
0c212a58-9a27-4850-bb22-540502e893dc	Primary Tumor	30.1291
157223aa-aab5-4522-8ff2-8104ea3561d9	Primary Tumor	4.547
576ad342-ce70-4c3c-b69d-8f1f5c4cd358	Primary Tumor	181.4816
b45e937f-da60-4259-8fa2-e64ee4fdbe95	Primary Tumor	153.8629
46a5c6c0-f460-4036-b3e6-eea9ec82ea14	Primary Tumor	89.9481
472406b3-cc1a-407e-bf38-a79046cfa952	Primary Tumor	44.3198
c5a1245e-f3c5-4f42-afd6-9b12f01a6445	Primary Tumor	57.3298
37fe51a0-c056-492e-b0c5-eb0502d73416	Primary Tumor	358.2792
313f5ae9-bbea-41d6-82d5-9242b2610d91	Primary Tumor	341.2924
bd98b566-f179-4be8-8b4d-672149eedcba	Solid Tissue Normal	128.8478
1c5de7db-7e05-4289-ace6-b59b6e2392e7	Primary Tumor	202.0892
25857230-7253-4929-a790-90815194b213	Primary Tumor	277.8613
55bbaa27-e618-48d6-bac3-80e9cfbcdf2c	Primary Tumor	156.0089
5a7bd024-3d92-4e64-86bd-b6eea34f6526	Primary Tumor	107.6818
7f827e47-e374-4c0e-8fec-b53018bfad03	Primary Tumor	156.2272
36101746-9c10-478e-96fb-8b47d057a6d4	Primary Tumor	2.2034
fb60fc57-836c-42e1-bc96-042b82d1a878	Primary Tumor	125.1911
bb47dbbf-75f5-4bbf-bd1a-ca81383f211b	Primary Tumor	101.6219
f19a1a66-ddc9-4567-80db-d009bb455b25	Primary Tumor	142.5921
404b3699-4707-49aa-b0d2-a0999bbd48e6	Primary Tumor	92.0081
8fadb6d4-de92-4301-9b6e-7dd857fec978	Primary Tumor	292.8301
a14f02d4-6d07-409d-af7a-5d5f23640ad6	Primary Tumor	0.0569
5fa5664e-daf5-4082-8d39-703a5d650e43	Primary Tumor	203.7858
bec02792-06e1-4789-871d-b5b4a5989786	Primary Tumor	210.0961
780617e8-6a28-4774-b1e6-3135e1932327	Primary Tumor	161.2499
0737eb23-c066-4522-8f5c-dbb4b3b516b0	Primary Tumor	284.7002
d4eb86d5-1952-449c-a5d7-20ccc04f0d07	Primary Tumor	102.7245
85c794c1-3fd0-4a10-a613-9db7eff3c78f	Primary Tumor	47.9937
864c2830-c699-433c-bcba-20f0c692854a	Primary Tumor	213.5512
9f1c581d-42a9-4067-8b91-5d309457b5e8	Primary Tumor	98.5692
d8334fd5-d042-48b4-95f5-4d5e3c5166e9	Primary Tumor	165.2977
f47927c5-e1e9-4152-9817-79aa6e64111a	Primary Tumor	49.7947
55831884-c907-457d-bb2c-7c7b3f7c4cd1	Solid Tissue Normal	142.1068
